Line#:, First Frame, Second Frame, Tile 1 Avg, Tile 2 Avg, Tile 3 Avg, Tile 4 Avg, Tile 5 Avg, Tile 6 Avg, Tile 7 Avg, Tile 8 Avg, Tile 9 Avg, MinValTile, MinValTile Idx
23, '11173', '11178', 0.09160106615777952, 9.83970900582159, 5.3691515128778065, 0.5943630133068645, 14.469450272827089, 16.907645892297296, 1.2819174508754195e-06, 14.273951438519873, 14.112530066133559, 1.2819174508754195e-06, 6
24, '11174', '11179', 0.007725139153137661, 2.203454785881206, 2.8759226365747423, 0.11020202720104155, 5.867054978126873, 11.200991041153486, 8.835310565844782e-07, 6.487857211679739, 10.958192588008387, 8.835310565844782e-07, 6
25, '11175', '11180', 0.1735073069307882, 0.13457543754272194, 0.01039607018805122, 0.2139787081139568, 0.11144479626925463, 1.3870307404050095, 6.644196160464323e-06, 0.8181169212360864, 2.6445627576649713, 6.644196160464323e-06, 6
26, '11176', '11181', 0.21889943385394872, 0.5299508273699907, 0.011430703491160321, 0.13110797497400828, 0.0023500604870091563, 0.9708737710337942, 2.8894028270313402e-06, 0.43532077201493635, 1.790900409733709, 2.8894028270313402e-06, 6
27, '11177', '11182', 0.24432949255742997, 1.4374643626008634, 0.32669285434054984, 0.35457431243282045, 0.756655682350825, 0.021537907664602507, 1.635123241112372e-05, 0.01872324465588293, 0.11695193773471146, 1.635123241112372e-05, 6
28, '11178', '11183', 0.37939556299933486, 2.2456794280945047, 0.6032289408146916, 0.47560421401193764, 1.3393156873646603, 0.07620575873465896, 1.7354190780645646e-05, 0.10357372691807143, 0.040593614451190696, 1.7354190780645646e-05, 6
29, '11179', '11184', 0.1795952679421795, 1.4207640401645136, 0.4495463250825651, 0.23184638253646828, 1.1143256874788818, 0.38249815308724067, 3.862303215018995e-06, 0.3243192850930008, 0.07546545286709616, 3.862303215018995e-06, 6
30, '11180', '11185', 0.21238851880806298, 2.8537226108329037, 1.476670640383432, 0.2950387373903176, 4.029729566137576, 3.47595235280329, 2.543281331483113e-06, 2.1779892689256144, 2.095761150041099, 2.543281331483113e-06, 6
31, '11181', '11186', 0.22025491169277078, 7.0386765452212785, 7.738396825039672, 0.740926202044875, 10.727623057427138, 17.685894413516735, 5.824815112480446e-07, 6.700452095447474, 8.141073809922318, 5.824815112480446e-07, 6
32, '11182', '11187', 0.15072681075566052, 6.07564041532919, 9.548999754548504, 0.583004390289009, 11.132373375599855, 18.53213672996594, 1.9760732204818994e-07, 12.549090169024794, 13.219819238077037, 1.9760732204818994e-07, 6
33, '11183', '11188', 0.08920705866512524, 4.7880345439580765, 7.25553200967903, 0.5065628217870568, 10.648082419106743, 17.358471387970212, 3.660757928270142e-07, 8.54891450670317, 12.416604501988559, 3.660757928270142e-07, 6
34, '11184', '11189', 0.0023699175852631843, 10.029153924044522, 15.691707979022794, 0.798596678189373, 27.62778209222256, 66.33436795685066, 3.6732745485802375e-07, 0.2357225275348549, 34.74118150770664, 3.6732745485802375e-07, 6
35, '11185', '11190', 0.08140189823823452, 18.677433806493582, 53.73284155788133, 1.4054182251289973, 7.166966229294815, 11.472371989120859, 7.851136816783864e-07, 37.11360281934412, 6.382109540027386, 7.851136816783864e-07, 6
36, '11186', '11191', 0.16082434703116633, 21.680801719645615, 39.34534544592316, 2.056960895616399, 0.0027769682240030985, 3.675089859069672, 5.059063665394768e-10, 43.526645600970596, 21.316254044973903, 5.059063665394768e-10, 6
37, '11187', '11192', 0.08333778685358428, 12.828064856967103, 33.7928063431209, 1.7399880728080461, 2.893218421024585, 3.9508877294111358, 6.576112570082975e-08, 52.85231040127201, 11.475862463849126, 6.576112570082975e-08, 6
38, '11188', '11193', 0.18019348466761986, 21.019737415856298, 37.26952894720307, 2.198337045026747, 0.0804870198221872, 1.0558795446627869, 2.7485283581199727e-06, 42.99282537358613, 9.352154880399212, 2.7485283581199727e-06, 6
39, '11189', '11194', 0.29770589392530056, 89.08305758570441, 51.357869252393584, 2.663247252322037, 12.204622170020286, 6.899196303014957e-05, 4.843443752594655e-06, 62.83430585157839, 0.5030137111686059, 4.843443752594655e-06, 6
40, '11190', '11195', 0.0040597554709101424, 39.5462316745236, 40.976549522896676, 1.8332794467688132, 30.790964691776935, 5.7659941428685215, 1.337226668541932e-06, 52.059908473704354, 5.125019941788423, 1.337226668541932e-06, 6
41, '11191', '11196', 0.003592112658000135, 4.831821142349838, 16.129127587214498, 0.7364356513585655, 1.4011450438381559, 0.43564063348157234, 7.828761662694592e-06, 97.21938635875995, 9.174630393363316, 7.828761662694592e-06, 6
42, '11192', '11197', 0.023321001187719625, 32.24250495406977, 33.99260767900364, 1.0890553507497316, 71.35595819021637, 37.55244562038661, 3.1446946453526632e-09, 6.759989585880476, 1.1251961425478498, 3.1446946453526632e-09, 6
43, '11193', '11198', 0.06780347128375297, 25.06830105755307, 39.51038819937844, 0.7141970079765692, 71.75841787605259, 70.35325667459347, 1.6683061468547255e-07, 12.321561115095392, 2.8872499669235054, 1.6683061468547255e-07, 6
44, '11194', '11199', 0.1903703891791233, 7.1378114576260145, 39.56887455886408, 0.3272704982851451, 59.66650336316002, 44.95015027447175, 9.235714008987367e-06, 102.29589614091674, 3.968821959577568, 9.235714008987367e-06, 6
45, '11195', '11200', 0.20016798997470975, 4.058999500160155, 20.230765620772445, 0.14109665895036017, 7.714979921125234, 14.34728671115613, 5.7578345244117335e-05, 164.77984984321301, 0.3219119605900609, 5.7578345244117335e-05, 6
46, '11196', '11201', 0.4474417399842565, 5.4835916326147185, 64.51029048208147, 0.028039541041861904, 87.34323643475363, 151.24149249812854, 5.522924438785984e-06, 45.94519315110142, 9.670050000489084, 5.522924438785984e-06, 6
47, '11197', '11202', 0.42208048629754913, 1.6022882674517405, 16.68958622548962, 0.001725274544378555, 5.045791844713904, 20.979614145941014, 3.213388750950897e-05, 86.30424104543727, 0.053883737799517384, 3.213388750950897e-05, 6
48, '11198', '11203', 0.5207309847276385, 0.9011143440077696, 21.028395536543258, 0.00022573036605623518, 38.60955580288851, 124.6792660140236, 1.0689206130566587e-05, 83.75617922865786, 4.8789747276719595, 1.0689206130566587e-05, 6
49, '11199', '11204', 0.3933344664232017, 0.5590067668791221, 11.434695469572262, 0.0009013954724818064, 2.67826881506393, 28.128783213964198, 3.4524421401040985e-05, 44.09848936098774, 3.9626064950446107, 3.4524421401040985e-05, 6
